Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SME0346;Matemática para Arquitetura;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;3;;;;0;0;;;;0;0;;;;0;0;0;0;Arquitetura - IAU
SME0346;Matemática para Arquitetura;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;3;;;;0;0;;;;0;0;;;;0;0;0;0;Arquitetura - IAU
SME0500;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;70;68;ICMC - Bacharelado em Sistemas de Informação;70;68;0;0;;;;0;0;;;;0;0;0;0;BSI
SME0500;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;70;68;;;;0;0;;;;0;0;;;;0;0;0;0;BSI
SME0500;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;70;68;;;;0;0;;;;0;0;;;;0;0;0;0;BSI
SME0520;Introdução à Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;52;ICMC - Bacharelado em Sistemas de Informação;70;52;0;0;;;;0;0;;;;0;0;0;0;BSI
SME0520;Introdução à Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;52;;;;0;0;;;;0;0;;;;0;0;0;0;BSI
SME0520;Introdução à Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;52;;;;0;0;;;;0;0;;;;0;0;0;0;BSI
SME0602;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;56;EESC e ICMC - Engenharia de Computação;60;56;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0602;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;56;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0602;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;56;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0610;Programação Matemática;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;47;EESC e ICMC - Engenharia de Computação;60;47;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0610;Programação Matemática;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;47;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0610;Programação Matemática;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;47;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0620;Estatística I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;48;EESC e ICMC - Engenharia de Computação;60;48;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0620;Estatística I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;48;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0620;Estatística I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;48;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0801;Probabilidade II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;48;ICMC -  Bacharelado em Estatística e Ciência de Dados;70;48;0;0;;;;0;0;;;;0;0;0;0;BECD
SME0801;Probabilidade II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;48;;;;0;0;;;;0;0;;;;0;0;0;0;BECD
SME0801;Probabilidade II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;48;;;;0;0;;;;0;0;;;;0;0;0;0;BECD
SME0803;Visualização e Exploração de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;5;5;ICMC -  Bacharelado em Estatística e Ciência de Dados;5;5;0;0;;;;0;0;;;;0;0;0;0;BECD
SME0803;Visualização e Exploração de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;5;5;;;;0;0;;;;0;0;;;;0;0;0;0;BECD
