Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SMA0353;Cálculo I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;12;EESC - Engenharia Aeronáutica;20;1;0;0;;;;0;0;;;;0;0;0;0;Eng. Comp. + Aeronáutica + Manufatura + IFSC
Campus 2
SMA0353;Cálculo I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;12;IFSC -  para toda a Unidade;10;5;0;0;;;;0;0;;;;0;0;0;0;Eng. Comp. + Aeronáutica + Manufatura + IFSC
Campus 2
SMA0353;Cálculo I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;12;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Comp. + Aeronáutica + Manufatura + IFSC
Campus 2
SMA0353;Cálculo I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;12;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Comp. + Aeronáutica + Manufatura + IFSC
Campus 2
SMA0353;Cálculo I;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;10;EESC e ICMC - Engenharia de Computação;25;0;0;0;;;;0;0;;;;0;0;0;0;Aeronáutica /Manufatura/ EC / IFSC (campus II)
SMA0353;Cálculo I;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;10;EESC - Engenharia de Materiais e Manufatura;25;5;0;0;;;;0;0;;;;0;0;0;0;Aeronáutica /Manufatura/ EC / IFSC (campus II)
SMA0353;Cálculo I;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;10;EESC - Engenharia Aeronáutica;20;0;0;0;;;;0;0;;;;0;0;0;0;Aeronáutica /Manufatura/ EC / IFSC (campus II)
SMA0353;Cálculo I;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;10;IFSC -  para toda a Unidade;10;5;0;0;;;;0;0;;;;0;0;0;0;Aeronáutica /Manufatura/ EC / IFSC (campus II)
SMA0353;Cálculo I;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;10;;;;0;0;;;;0;0;;;;0;0;0;0;Aeronáutica /Manufatura/ EC / IFSC (campus II)
SMA0353;Cálculo I;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;10;;;;0;0;;;;0;0;;;;0;0;0;0;Aeronáutica /Manufatura/ EC / IFSC (campus II)
SMA0353;Cálculo I;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus 1)
turma ingressantes
SMA0353;Cálculo I;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus 1)
turma ingressantes
SMA0353;Cálculo I;2025107;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025107;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025108;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025108;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025109;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025109;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025110;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025110;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;Eletrônica + Automação + Mecânica + Mecatrônica + Produção + IFSC (campus I)
turma ingressantes
SMA0353;Cálculo I;2025111;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;85;8;IQSC -  para toda a Unidade;85;8;0;0;;;;0;0;;;;0;0;0;0;IQSC (campus I)
SMA0353;Cálculo I;2025111;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;85;8;;;;0;0;;;;0;0;;;;0;0;0;0;IQSC (campus I)
SMA0353;Cálculo I;2025111;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;85;8;;;;0;0;;;;0;0;;;;0;0;0;0;IQSC (campus I)
SMA0354;Cálculo II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;65;IFSC -  para toda a Unidade;33;33;0;0;;;;0;0;;;;0;0;0;0;IFSC/IQSC
SMA0354;Cálculo II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;65;IQSC -  para toda a Unidade;32;32;0;0;;;;0;0;;;;0;0;0;0;IFSC/IQSC
SMA0354;Cálculo II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;65;;;;0;0;;;;0;0;;;;0;0;0;0;IFSC/IQSC
SMA0354;Cálculo II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;65;;;;0;0;;;;0;0;;;;0;0;0;0;IFSC/IQSC
SMA0355;Cálculo III;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;107;107;ICMC - Ciências de Computação;94;94;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0355;Cálculo III;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;107;107;ICMC - Bacharelado em Ciência de Dados;13;13;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0355;Cálculo III;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;107;107;;;;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0355;Cálculo III;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;107;107;;;;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0355;Cálculo III;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;121;EESC e ICMC - Engenharia de Computação;60;56;0;0;;;;0;0;;;;0;0;0;0;Eng. Aeronáutica + Eng. Ambiental + Eng. Computação
SMA0355;Cálculo III;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;121;EESC - Engenharia Ambiental;20;19;0;0;;;;0;0;;;;0;0;0;0;Eng. Aeronáutica + Eng. Ambiental + Eng. Computação
SMA0355;Cálculo III;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;121;EESC - Engenharia Aeronáutica;50;46;0;0;;;;0;0;;;;0;0;0;0;Eng. Aeronáutica + Eng. Ambiental + Eng. Computação
SMA0355;Cálculo III;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;121;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Aeronáutica + Eng. Ambiental + Eng. Computação
SMA0355;Cálculo III;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;121;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Aeronáutica + Eng. Ambiental + Eng. Computação
